Barbell Bench Press	杠铃 卧推 推举
Weighted Rope Climb	负重 rope climb
Weighted Wall Slide	负重 wall slide
45 Degree Cable External Rotation	45 degree 绳索 external rotation
Leg Curl	腿 弯举
Seated Barbell Good Morning	seated 杠铃 good morning
Single Leg Barbell Good Morning	single 腿 杠铃 good morning
Single Leg Sliding Leg Curl	single 腿 sliding 腿 弯举
Sliding Leg Curl	sliding 腿 弯举
Split Barbell Good Morning	split 杠铃 good morning
Split Stance Extension	split 站姿 伸展
Staggered Stance Good Morning	staggered 站姿 good morning
Swiss Ball Hip Raise And Leg Curl	swiss 球 hip 上举 and 腿 弯举
Weighted Leg Curl	负重 腿 弯举
Zercher Good Morning	zercher good morning
Hanging Knee Raise	hanging knee 上举
Hanging Single Leg Raise	hanging single 腿 上举
Kettlebell Leg Raises	壶铃 腿 raises
Lateral Stepover	lateral stepover
Leg Lowering Drill	腿 lowering drill
Lying Straight Leg Raise	lying straight 腿 上举
Medicine Ball Leg Drops	药球 球 腿 drops
Quadruped Leg Raise	quadruped 腿 上举
Reverse Leg Raise	reverse 腿 上举
Reverse Leg Raise On Swiss Ball	reverse 腿 上举 on swiss 球
Single Leg Lowering Drill	single 腿 lowering drill
Weighted Hanging Knee Raise	负重 hanging knee 上举
Weighted Hanging Leg Raise	负重 hanging 腿 上举
Weighted Hanging Single Leg Raise	负重 hanging single 腿 上举
Weighted Lateral Stepover	负重 lateral stepover
Weighted Leg Lowering Drill	负重 腿 lowering drill
Weighted Lying Straight Leg Raise	负重 lying straight 腿 上举
Weighted Quadruped Leg Raise	负重 quadruped 腿 上举
Weighted Reverse Leg Raise	负重 reverse 腿 上举
Weighted Reverse Leg Raise On Swiss Ball	负重 reverse 腿 上举 on swiss 球
Weighted Single Leg Lowering Drill	负重 single 腿 lowering drill
Alternating Barbell Forward Lunge	alternating 杠铃 forward 弓步
Back Foot Elevated Dumbbell Split Squat	背部 foot elevated 哑铃 split 深蹲
Barbell Box Lunge	杠铃 箱 弓步
Barbell Crossover Lunge	杠铃 crossover 弓步
Barbell Front Split Squat	杠铃 前 split 深蹲
Barbell Lunge	杠铃 弓步
Barbell Reverse Lunge	杠铃 reverse 弓步
Barbell Split Squat	杠铃 split 深蹲
Core Control Rear Lunge	核心 control rear 弓步
Diagonal Lunge	diagonal 弓步
Drop Lunge	drop 弓步
Dumbbell Box Lunge	哑铃 箱 弓步
Dumbbell Bulgarian Split Squat	哑铃 bulgarian split 深蹲
Dumbbell Crossover Lunge	哑铃 crossover 弓步
Dumbbell Diagonal Lunge	哑铃 diagonal 弓步
Dumbbell Lunge	哑铃 弓步
Dumbbell Lunge And Rotation	哑铃 弓步 and rotation
Dumbbell Overhead Bulgarian Split Squat	哑铃 过头 bulgarian split 深蹲
Dumbbell Reverse Lunge To High Knee And Press	哑铃 reverse 弓步 to high knee and 推举
Dumbbell Side Lunge	哑铃 侧 弓步
Elevated Front Foot Barbell Split Squat	elevated 前 foot 杠铃 split 深蹲
Front Foot Elevated Dumbbell Split Squat	前 foot elevated 哑铃 split 深蹲
Gunslinger Lunge	gunslinger 弓步
Lawnmower Lunge	lawnmower 弓步
Low Side To Side Lunge	low 侧 to 侧 弓步
Lunge Matrix	弓步 matrix
Lunge With Diagonal Reach	弓步 with diagonal reach
Lunge With Side Bend	弓步 with 侧 bend
Offset Dumbbell Lunge	offset 哑铃 弓步
Offset Dumbbell Reverse Lunge	offset 哑铃 reverse 弓步
Overhead Bulgarian Split Squat	过头 bulgarian split 深蹲
Overhead Dumbbell Reverse Lunge	过头 哑铃 reverse 弓步
Overhead Lunge	过头 弓步
Overhead Lunge With Rotation	过头 弓步 with rotation
Reverse Barbell Box Lunge	reverse 杠铃 箱 弓步
Reverse Box Lunge	reverse 箱 弓步
Reverse Dumbbell Box Lunge	reverse 哑铃 箱 弓步
Reverse Dumbbell Crossover Lunge	reverse 哑铃 crossover 弓步
Reverse Dumbbell Diagonal Lunge	reverse 哑铃 diagonal 弓步
Reverse Lunge With Reach Back	reverse 弓步 with reach 背部
Reverse Lunge With Twist And Overhead Reach	reverse 弓步 with twist and 过头 reach
Reverse Sliding Box Lunge	reverse sliding 箱 弓步
Scissor Power Switch	scissor power switch
Side And Crossover Lunge	侧 and crossover 弓步
Side Lunge	侧 弓步
Side Lunge And Press	侧 弓步 and 推举
Side Lunge Jump Off	侧 弓步 跳 off
Side Lunge Sweep	侧 弓步 sweep
Side Lunge To Crossover Tap	侧 弓步 to crossover tap
Siff Jump Lunge	siff 跳 弓步
Single Arm Reverse Lunge And Press	single 手臂 reverse 弓步 and 推举
Sliding Lateral Lunge	sliding lateral 弓步
Walking Barbell Lunge	walking 杠铃 弓步
Walking Dumbbell Lunge	walking 哑铃 弓步
Weighted Lunge	负重 弓步
Weighted Lunge Matrix	负重 弓步 matrix
Weighted Reverse Lunge With Reach Back	负重 reverse 弓步 with reach 背部
Weighted Reverse Lunge With Twist And Overhead Reach	负重 reverse 弓步 with twist and 过头 reach
Weighted Reverse Sliding Box Lunge	负重 reverse sliding 箱 弓步
Weighted Reverse Sliding Lunge	负重 reverse sliding 弓步
Weighted Runners Lunge To Balance	负重 runners 弓步 to balance
Weighted Side And Crossover Lunge	负重 侧 and crossover 弓步
Weighted Side Lunge	负重 侧 弓步
Weighted Side Lunge Sweep	负重 侧 弓步 sweep
Weighted Side Lunge To Crossover Tap	负重 侧 弓步 to crossover tap
Weighted Side To Side Lunge Chops	负重 侧 to 侧 弓步 chops
Weighted Siff Jump Lunge	负重 siff 跳 弓步
Weighted Sliding Lateral Lunge	负重 sliding lateral 弓步
Weighted Walking Lunge	负重 walking 弓步
Wide Grip Overhead Barbell Split Squat	宽 握 过头 杠铃 split 深蹲
Barbell Hang Power Clean	杠铃 hang power clean
Barbell Hang Power Snatch	杠铃 hang power snatch
Barbell Hang Pull	杠铃 hang 拉
Barbell Hang Squat Clean	杠铃 hang 深蹲 clean
Barbell High Pull	杠铃 high 拉
Barbell Power Clean	杠铃 power clean
Barbell Power Snatch	杠铃 power snatch
Barbell Snatch	杠铃 snatch
Barbell Split Jerk	杠铃 split jerk
Barbell Squat Clean	杠铃 深蹲 clean
Clean	clean
Clean And Jerk	clean and jerk
Dumbbell Clean	哑铃 clean
Dumbbell Hang Pull	哑铃 hang 拉
One Hand Dumbbell Split Snatch	one hand 哑铃 split snatch
Push Jerk	推 jerk
Single Arm Dumbbell Snatch	single 手臂 哑铃 snatch
Single Arm Hang Snatch	single 手臂 hang snatch
Single Arm Kettlebell Snatch	single 手臂 壶铃 snatch
Split Jerk	split jerk
Squat Clean And Jerk	深蹲 clean and jerk
Bear Crawl	bear crawl
Elbow Plank Pike Jacks	elbow 平板支撑 pike jacks
Elevated Feet Plank	elevated feet 平板支撑
Extended Plank	extended 平板支撑
Full Plank Passe Twist	full 平板支撑 passe twist
Inching Elbow Plank	inching elbow 平板支撑
Inchworm To Side Plank	inchworm to 侧 平板支撑
Kneeling Plank	kneeling 平板支撑
Kneeling Side Plank With Leg Lift	kneeling 侧 平板支撑 with 腿 lift
Lateral Roll	lateral roll
Lying Reverse Plank	lying reverse 平板支撑
Medicine Ball Mountain Climber	药球 球 mountain climber
Modified Mountain Climber And Extension	modified mountain climber and 伸展
Mountain Climber With Hands On Bench	mountain climber with hands on 卧推
Mountain Climber With Hands On Swiss Ball	mountain climber with hands on swiss 球
Plank Jacks With Feet On Sliding Discs	平板支撑 jacks with feet on sliding discs
Plank Knee Twist	平板支撑 knee twist
Plank Pikes	平板支撑 pikes
Plank Pike Jumps	平板支撑 pike jumps
Plank To Stand Up	平板支撑 to stand 上
Plank With Feet On Swiss Ball	平板支撑 with feet on swiss 球
Plank With Knee To Elbow	平板支撑 with knee to elbow
Plyometric Side Plank	plyometric 侧 平板支撑
Rolling Side Plank	rolling 侧 平板支撑
Side Kick Plank	侧 kick 平板支撑
Side Plank Lift	侧 平板支撑 lift
Side Plank To Plank With Reach Under	侧 平板支撑 to 平板支撑 with reach under
Side Plank With Elbow On Bosu Ball	侧 平板支撑 with elbow on bosu 球
Side Plank With Knee Circle	侧 平板支撑 with knee circle
Side Plank With Knee Tuck	侧 平板支撑 with knee tuck
Side Plank With Leg Lift	侧 平板支撑 with 腿 lift
Side Plank With Reach Under	侧 平板支撑 with reach under
Single Leg Elevated Feet Plank	single 腿 elevated feet 平板支撑
Single Leg Flex And Extend	single 腿 flex and extend
Single Leg Side Plank	single 腿 侧 平板支撑
Spiderman Plank	spiderman 平板支撑
Straight Arm Plank	straight 手臂 平板支撑
Straight Arm Plank With Shoulder Touch	straight 手臂 平板支撑 with 肩膀 touch
Swiss Ball Plank	swiss 球 平板支撑
Swiss Ball Plank Leg Lift	swiss 球 平板支撑 腿 lift
Swiss Ball Plank Leg Lift And Hold	swiss 球 平板支撑 腿 lift and 保持
Swiss Ball Plank With Feet On Bench	swiss 球 平板支撑 with feet on 卧推
Swiss Ball Prone Jackknife	swiss 球 prone jackknife
Swiss Ball Side Plank	swiss 球 侧 平板支撑
Three Way Plank	three way 平板支撑
Towel Plank And Knee In	towel 平板支撑 and knee 内
Turkish Get Up To Side Plank	turkish get 上 to 侧 平板支撑
Two Point Plank	two point 平板支撑
T Stabilization	t stabilization
Weighted 45 Degree Plank	负重 45 degree 平板支撑
Weighted 90 Degree Static Hold	负重 90 degree static 保持
Weighted Bear Crawl	负重 bear crawl
Weighted Cross Body Mountain Climber	负重 cross body mountain climber
Weighted Elbow Plank Pike Jacks	负重 elbow 平板支撑 pike jacks
Weighted Elevated Feet Plank	负重 elevated feet 平板支撑
Weighted Elevator Abs	负重 elevator 腹肌
Weighted Extended Plank	负重 extended 平板支撑
Weighted Full Plank Passe Twist	负重 full 平板支撑 passe twist
Weighted Inching Elbow Plank	负重 inching elbow 平板支撑
Weighted Inchworm To Side Plank	负重 inchworm to 侧 平板支撑
Weighted Kneeling Plank	负重 kneeling 平板支撑
Weighted Kneeling Side Plank With Leg Lift	负重 kneeling 侧 平板支撑 with 腿 lift
Weighted Lateral Roll	负重 lateral roll
Weighted Lying Reverse Plank	负重 lying reverse 平板支撑
Weighted Medicine Ball Mountain Climber	负重 药球 球 mountain climber
Weighted Modified Mountain Climber And Extension	负重 modified mountain climber and 伸展
Weighted Mountain Climber	负重 mountain climber
Weighted Mountain Climber On Sliding Discs	负重 mountain climber on sliding discs
Weighted Mountain Climber With Feet On Bosu Ball	负重 mountain climber with feet on bosu 球
Weighted Mountain Climber With Hands On Swiss Ball	负重 mountain climber with hands on swiss 球
Weighted Plank Jacks With Feet On Sliding Discs	负重 平板支撑 jacks with feet on sliding discs
Weighted Plank Knee Twist	负重 平板支撑 knee twist
Weighted Plank Pikes	负重 平板支撑 pikes
Weighted Plank Pike Jumps	负重 平板支撑 pike jumps
Weighted Plank To Stand Up	负重 平板支撑 to stand 上
Weighted Plank With Arm Raise	负重 平板支撑 with 手臂 上举
Weighted Plank With Knee To Elbow	负重 平板支撑 with knee to elbow
Weighted Plank With Oblique Crunch	负重 平板支撑 with oblique 卷腹
Weighted Plyometric Side Plank	负重 plyometric 侧 平板支撑
Weighted Rolling Side Plank	负重 rolling 侧 平板支撑
Weighted Side Kick Plank	负重 侧 kick 平板支撑
Weighted Side Plank	负重 侧 平板支撑
Weighted Side Plank And Row	负重 侧 平板支撑 and 划船
Weighted Side Plank Lift	负重 侧 平板支撑 lift
Weighted Side Plank With Elbow On Bosu Ball	负重 侧 平板支撑 with elbow on bosu 球
Weighted Side Plank With Feet On Bench	负重 侧 平板支撑 with feet on 卧推
Weighted Side Plank With Knee Circle	负重 侧 平板支撑 with knee circle
Weighted Side Plank With Knee Tuck	负重 侧 平板支撑 with knee tuck
Weighted Side Plank With Leg Lift	负重 侧 平板支撑 with 腿 lift
Weighted Side Plank With Reach Under	负重 侧 平板支撑 with reach under
Weighted Single Leg Elevated Feet Plank	负重 single 腿 elevated feet 平板支撑
Weighted Single Leg Flex And Extend	负重 single 腿 flex and extend
Weighted Single Leg Side Plank	负重 single 腿 侧 平板支撑
Weighted Spiderman Plank	负重 spiderman 平板支撑
Weighted Straight Arm Plank	负重 straight 手臂 平板支撑
Weighted Straight Arm Plank With Shoulder Touch	负重 straight 手臂 平板支撑 with 肩膀 touch
Weighted Swiss Ball Plank	负重 swiss 球 平板支撑
Weighted Swiss Ball Plank Leg Lift	负重 swiss 球 平板支撑 腿 lift
Weighted Swiss Ball Plank With Feet On Bench	负重 swiss 球 平板支撑 with feet on 卧推
Weighted Swiss Ball Prone Jackknife	负重 swiss 球 prone jackknife
Weighted Swiss Ball Side Plank	负重 swiss 球 侧 平板支撑
Weighted Three Way Plank	负重 three way 平板支撑
Weighted Towel Plank And Knee In	负重 towel 平板支撑 and knee 内
Weighted Turkish Get Up To Side Plank	负重 turkish get 上 to 侧 平板支撑
Weighted Two Point Plank	负重 two point 平板支撑
Weighted T Stabilization	负重 t stabilization
Weighted Wide Stance Plank With Diagonal Arm Lift	负重 宽 站姿 平板支撑 with diagonal 手臂 lift
Weighted Wide Stance Plank With Diagonal Leg Lift	负重 宽 站姿 平板支撑 with diagonal 腿 lift
Wide Stance Plank With Diagonal Arm Lift	宽 站姿 平板支撑 with diagonal 手臂 lift
Wide Stance Plank With Diagonal Leg Lift	宽 站姿 平板支撑 with diagonal 腿 lift
Wide Stance Plank With Leg Lift	宽 站姿 平板支撑 with 腿 lift
90 Degree Static Hold	90 degree static 保持
Cross Knee Strike	cross knee strike
Depth Jump	depth 跳
Dumbbell Jump Squat	哑铃 跳 深蹲
Dumbbell Split Jump	哑铃 split 跳
Front Knee Strike	前 knee strike
High Box Jump	high 箱 跳
Isometric Explosive Body Weight Jump Squat	isometric explosive body weight 跳 深蹲
Lateral Leap And Hop	lateral leap and hop
Lateral Plyo Squats	lateral plyo squats
Lateral Slide	lateral slide
Medicine Ball Overhead Throws	药球 球 过头 throws
Medicine Ball Side Throw	药球 球 侧 throw
Side To Side Medicine Ball Throws	侧 to 侧 药球 球 throws
Squat Jumps In And Out	深蹲 jumps 内 and 外
Squat Jump Onto Box	深蹲 跳 onto 箱
Weighted Alternating Jump Lunge	负重 alternating 跳 弓步
Weighted Cross Knee Strike	负重 cross knee strike
Weighted Depth Jump	负重 depth 跳
Weighted Front Knee Strike	负重 前 knee strike
Weighted High Box Jump	负重 high 箱 跳
Weighted Isometric Explosive Jump Squat	负重 isometric explosive 跳 深蹲
Weighted Jump Squat	负重 跳 深蹲
Weighted Lateral Leap And Hop	负重 lateral leap and hop
Weighted Lateral Plyo Squats	负重 lateral plyo squats
Weighted Lateral Slide	负重 lateral slide
Weighted Side To Side Shuffle Jump	负重 侧 to 侧 shuffle 跳
Weighted Squat Jumps In And Out	负重 深蹲 jumps 内 and 外
Weighted Squat Jump Onto Box	负重 深蹲 跳 onto 箱
Banded Pull Ups	banded 拉 ups
Band Assisted Chin Up	弹力带 assisted chin 上
Burpee Pull Up	burpee 拉 上
Close Grip Chin Up	窄 握 chin 上
Close Grip Lat Pulldown	窄 握 lat pulldown
Crossover Chin Up	crossover chin 上
Ez Bar Pullover	ez 杆 pullover
Hanging Hurdle	hanging hurdle
Jumping Pull Ups	jumping 拉 ups
Kipping Pull Up	kipping 拉 上
Kneeling Lat Pulldown	kneeling lat pulldown
Kneeling Underhand Grip Lat Pulldown	kneeling 反手 握 lat pulldown
L Pull Up	l 拉 上
Mixed Grip Chin Up	mixed 握 chin 上
Mixed Grip Pull Up	mixed 握 拉 上
Neutral Grip Chin Up	neutral 握 chin 上
Reverse Grip Pulldown	reverse 握 pulldown
Straight Arm Pulldown	straight 手臂 pulldown
Suspended Chin Up	suspended chin 上
Swiss Ball Ez Bar Pullover	swiss 球 ez 杆 pullover
Towel Pull Up	towel 拉 上
Weighted Burpee Pull Up	负重 burpee 拉 上
Weighted Chin Up	负重 chin 上
Weighted Close Grip Chin Up	负重 窄 握 chin 上
Weighted Crossover Chin Up	负重 crossover chin 上
Weighted Hanging Hurdle	负重 hanging hurdle
Weighted Jumping Pull Ups	负重 jumping 拉 ups
Weighted Kipping Pull Up	负重 kipping 拉 上
Weighted L Pull Up	负重 l 拉 上
Weighted Mixed Grip Chin Up	负重 mixed 握 chin 上
Weighted Mixed Grip Pull Up	负重 mixed 握 拉 上
Weighted Pull Up	负重 拉 上
Weighted Towel Pull Up	负重 towel 拉 上
Weighted Wide Grip Pull Up	负重 宽 握 拉 上
Wide Grip Pull Up	宽 握 拉 上
30 Degree Lat Pulldown	30 degree lat pulldown
Alternating Hands Medicine Ball Push Up	alternating hands 药球 球 推 上
Alternating Staggered Push Up	alternating staggered 推 上
Bosu Ball Push Up	bosu 球 推 上
Chest Press With Band	胸部 推举 with 弹力带
Clapping Push Up	clapping 推 上
Close Grip Medicine Ball Push Up	窄 握 药球 球 推 上
Close Hands Push Up	窄 hands 推 上
Decline Push Up	decline 推 上
Diamond Push Up	diamond 推 上
Explosive Crossover Push Up	explosive crossover 推 上
Explosive Push Up	explosive 推 上
Feet Elevated Side To Side Push Up	feet elevated 侧 to 侧 推 上
Handstand Push Up	handstand 推 上
Hand Release Push Up	hand release 推 上
Incline Push Up	incline 推 上
Isometric Explosive Push Up	isometric explosive 推 上
Judo Push Up	judo 推 上
Kneeling Push Up	kneeling 推 上
Medicine Ball Chest Pass	药球 球 胸部 pass
Medicine Ball Push Up	药球 球 推 上
One Arm Push Up	one 手臂 推 上
Parallette Handstand Push Up	parallette handstand 推 上
Push Up And Row	推 上 and 划船
Push Up Plus	推 上 plus
Push Up With Feet On Swiss Ball	推 上 with feet on swiss 球
Push Up With One Hand On Medicine Ball	推 上 with one hand on 药球 球
Ring Handstand Push Up	ring handstand 推 上
Ring Push Up	ring 推 上
Shoulder Push Up	肩膀 推 上
Single Arm Medicine Ball Push Up	single 手臂 药球 球 推 上
Spiderman Push Up	spiderman 推 上
Stacked Feet Push Up	stacked feet 推 上
Staggered Hands Push Up	staggered hands 推 上
Suspended Push Up	suspended 推 上
Swiss Ball Push Up	swiss 球 推 上
Swiss Ball Push Up Plus	swiss 球 推 上 plus
Triple Stop Push Up	triple stop 推 上
Weighted Alternating Hands Medicine Ball Push Up	负重 alternating hands 药球 球 推 上
Weighted Alternating Staggered Push Up	负重 alternating staggered 推 上
Weighted Bosu Ball Push Up	负重 bosu 球 推 上
Weighted Clapping Push Up	负重 clapping 推 上
Weighted Close Grip Medicine Ball Push Up	负重 窄 握 药球 球 推 上
Weighted Close Hands Push Up	负重 窄 hands 推 上
Weighted Decline Push Up	负重 decline 推 上
Weighted Diamond Push Up	负重 diamond 推 上
Weighted Explosive Crossover Push Up	负重 explosive crossover 推 上
Weighted Explosive Push Up	负重 explosive 推 上
Weighted Feet Elevated Side To Side Push Up	负重 feet elevated 侧 to 侧 推 上
Weighted Handstand Push Up	负重 handstand 推 上
Weighted Hand Release Push Up	负重 hand release 推 上
Weighted Incline Push Up	负重 incline 推 上
Weighted Isometric Explosive Push Up	负重 isometric explosive 推 上
Weighted Judo Push Up	负重 judo 推 上
Weighted Kneeling Push Up	负重 kneeling 推 上
Weighted Medicine Ball Push Up	负重 药球 球 推 上
Weighted One Arm Push Up	负重 one 手臂 推 上
Weighted Parallette Handstand Push Up	负重 parallette handstand 推 上
Weighted Push Up	负重 推 上
Weighted Push Up And Row	负重 推 上 and 划船
Weighted Push Up Plus	负重 推 上 plus
Weighted Push Up With Feet On Swiss Ball	负重 推 上 with feet on swiss 球
Weighted Push Up With One Hand On Medicine Ball	负重 推 上 with one hand on 药球 球
Weighted Ring Handstand Push Up	负重 ring handstand 推 上
Weighted Shoulder Push Up	负重 肩膀 推 上
Weighted Single Arm Medicine Ball Push Up	负重 single 手臂 药球 球 推 上
Weighted Spiderman Push Up	负重 spiderman 推 上
Weighted Stacked Feet Push Up	负重 stacked feet 推 上
Weighted Staggered Hands Push Up	负重 staggered hands 推 上
Weighted Suspended Push Up	负重 suspended 推 上
Weighted Swiss Ball Push Up	负重 swiss 球 推 上
Weighted Swiss Ball Push Up Plus	负重 swiss 球 推 上 plus
Weighted Triple Stop Push Up	负重 triple stop 推 上
Weighted T Push Up	负重 t 推 上
Weighted Wide Hands Push Up	负重 宽 hands 推 上
Wide Hands Push Up	宽 hands 推 上
Barbell Straight Leg Deadlift To Row	杠铃 straight 腿 硬拉 to 划船
Elevated Feet Inverted Row	elevated feet inverted 划船
Face Pull With External Rotation	face 拉 with external rotation
Inverted Row With Feet On Swiss Ball	inverted 划船 with feet on swiss 球
Kettlebell Row	壶铃 划船
Modified Inverted Row	modified inverted 划船
Neutral Grip Alternating Dumbbell Row	neutral 握 alternating 哑铃 划船
One Legged Dumbbell Row	one legged 哑铃 划船
Rope Handle Cable Row	rope handle 绳索 划船
Row	划船
Seated Cable Row	seated 绳索 划船
Seated Dumbbell Row	seated 哑铃 划船
Single Arm Cable Row	single 手臂 绳索 划船
Single Arm Cable Row And Rotation	single 手臂 绳索 划船 and rotation
Single Arm Inverted Row	single 手臂 inverted 划船
Single Arm Neutral Grip Dumbbell Row	single 手臂 neutral 握 哑铃 划船
Suspended Inverted Row	suspended inverted 划船
Towel Grip Inverted Row	towel 握 inverted 划船
T Bar Row	t 杆 划船
Underhand Grip Cable Row	反手 握 绳索 划船
V Grip Cable Row	v 握 绳索 划船
Weighted Elevated Feet Inverted Row	负重 elevated feet inverted 划船
Weighted Inverted Row With Feet On Swiss Ball	负重 inverted 划船 with feet on swiss 球
Weighted Modified Inverted Row	负重 modified inverted 划船
Weighted Row	负重 划船
Weighted Single Arm Inverted Row	负重 single 手臂 inverted 划船
Weighted Suspended Inverted Row	负重 suspended inverted 划船
Weighted Towel Grip Inverted Row	负重 towel 握 inverted 划船
Wide Grip Seated Cable Row	宽 握 seated 绳索 划船
Run Or Walk	跑 or 走
Sprint	冲刺
Walk	走
Arnold Press	arnold 推举
Barbell Push Press	杠铃 推 推举
Barbell Shoulder Press	杠铃 肩膀 推举
Dead Curl Press	dead 弯举 推举
Dumbbell Alternating Shoulder Press And Twist	哑铃 alternating 肩膀 推举 and twist
Dumbbell Hammer Curl To Lunge To Press	哑铃 hammer 弯举 to 弓步 to 推举
Floor Inverted Shoulder Press	floor inverted 肩膀 推举
Inverted Shoulder Press	inverted 肩膀 推举
One Arm Push Press	one 手臂 推 推举
Overhead Barbell Press	过头 杠铃 推举
Overhead Dumbbell Press	过头 哑铃 推举
Seated Barbell Shoulder Press	seated 杠铃 肩膀 推举
Seated Dumbbell Shoulder Press	seated 哑铃 肩膀 推举
Split Stance Hammer Curl To Press	split 站姿 hammer 弯举 to 推举
Swiss Ball Dumbbell Shoulder Press	swiss 球 哑铃 肩膀 推举
Weighted Floor Inverted Shoulder Press	负重 floor inverted 肩膀 推举
Weighted Inverted Shoulder Press	负重 inverted 肩膀 推举
Weight Plate Front Raise	weight 片 前 上举
Band External Rotation	弹力带 external rotation
Band Internal Rotation	弹力带 internal rotation
Bent Arm Lateral Raise And External Rotation	bent 手臂 lateral 上举 and external rotation
Cable External Rotation	绳索 external rotation
Dumbbell Face Pull With External Rotation	哑铃 face 拉 with external rotation
Floor I Raise	floor i 上举
Floor T Raise	floor t 上举
Floor Y Raise	floor y 上举
Incline I Raise	incline i 上举
Incline L Raise	incline l 上举
Incline T Raise	incline t 上举
Incline W Raise	incline w 上举
Incline Y Raise	incline y 上举
Lying External Rotation	lying external rotation
Seated Dumbbell External Rotation	seated 哑铃 external rotation
Standing L Raise	standing l 上举
Swiss Ball I Raise	swiss 球 i 上举
Swiss Ball T Raise	swiss 球 t 上举
Swiss Ball W Raise	swiss 球 w 上举
Swiss Ball Y Raise	swiss 球 y 上举
Weighted Floor I Raise	负重 floor i 上举
Weighted Floor T Raise	负重 floor t 上举
Weighted Floor Y Raise	负重 floor y 上举
Weighted Incline I Raise	负重 incline i 上举
Weighted Incline L Raise	负重 incline l 上举
Weighted Incline T Raise	负重 incline t 上举
Weighted Incline W Raise	负重 incline w 上举
Weighted Incline Y Raise	负重 incline y 上举
Weighted Swiss Ball I Raise	负重 swiss 球 i 上举
Weighted Swiss Ball T Raise	负重 swiss 球 t 上举
Weighted Swiss Ball W Raise	负重 swiss 球 w 上举
Weighted Swiss Ball Y Raise	负重 swiss 球 y 上举
90 Degree Cable External Rotation	90 degree 绳索 external rotation
Barbell Jump Shrug	杠铃 跳 shrug
Barbell Shrug	杠铃 shrug
Behind The Back Smith Machine Shrug	behind the 背部 smith 器械 shrug
Dumbbell Jump Shrug	哑铃 跳 shrug
Dumbbell Shrug	哑铃 shrug
Dumbbell Upright Row	哑铃 upright 划船
Incline Dumbbell Shrug	incline 哑铃 shrug
Overhead Barbell Shrug	过头 杠铃 shrug
Overhead Dumbbell Shrug	过头 哑铃 shrug
Scaption And Shrug	scaption and shrug
Scapular Retraction	scapular retraction
Serratus Chair Shrug	serratus chair shrug
Serratus Shrug	serratus shrug
Weighted Serratus Chair Shrug	负重 serratus chair shrug
Weighted Serratus Shrug	负重 serratus shrug
Wide Grip Barbell Shrug	宽 握 杠铃 shrug
Wide Grip Jump Shrug	宽 握 跳 shrug
Alternating Sit Up	alternating sit 上
Bent Knee V Up	bent knee v 上
Butterfly Sit Up	butterfly sit 上
Crossed Arms Sit Up	crossed arms sit 上
Cross Punch Roll Up	cross punch roll 上
Hovering Sit Up	hovering sit 上
Kettlebell Sit Up	壶铃 sit 上
Medicine Ball Alternating V Up	药球 球 alternating v 上
Medicine Ball Sit Up	药球 球 sit 上
Medicine Ball V Up	药球 球 v 上
Modified Sit Up	modified sit 上
Negative Sit Up	negative sit 上
One Arm Full Sit Up	one 手臂 full sit 上
Reclining Circle	reclining circle
Reverse Curl Up	reverse 弯举 上
Single Leg Swiss Ball Jackknife	single 腿 swiss 球 jackknife
The Teaser	the teaser
The Teaser Weighted	the teaser 负重
Three Part Roll Down	three part roll 下
Weighted Alternating Sit Up	负重 alternating sit 上
Weighted Bent Knee V Up	负重 bent knee v 上
Weighted Butterfly Situp	负重 butterfly situp
Weighted Crossed Arms Sit Up	负重 crossed arms sit 上
Weighted Cross Punch Roll Up	负重 cross punch roll 上
Weighted Get Up Sit Up	负重 get 上 sit 上
Weighted Hovering Sit Up	负重 hovering sit 上
Weighted Reclining Circle	负重 reclining circle
Weighted Reverse Curl Up	负重 reverse 弯举 上
Weighted Russian Twist On Swiss Ball	负重 russian twist on swiss 球
Weighted Single Leg Swiss Ball Jackknife	负重 single 腿 swiss 球 jackknife
Weighted Sit Up	负重 sit 上
Weighted Three Part Roll Down	负重 three part roll 下
Weighted V Up	负重 v 上
Weighted X Abs	负重 x 腹肌
X Abs	x 腹肌
Back Squats	背部 squats
Balancing Squat	balancing 深蹲
Barbell Box Squat	杠铃 箱 深蹲
Barbell Hack Squat	杠铃 hack 深蹲
Barbell Hang Squat Snatch	杠铃 hang 深蹲 snatch
Barbell Lateral Step Up	杠铃 lateral 步 上
Barbell Quarter Squat	杠铃 quarter 深蹲
Barbell Siff Squat	杠铃 siff 深蹲
Barbell Squat Snatch	杠铃 深蹲 snatch
Barbell Squat With Heels Raised	杠铃 深蹲 with heels raised
Barbell Stepover	杠铃 stepover
Bench Squat With Rotational Chop	卧推 深蹲 with rotational chop
Body Weight Wall Squat	body weight wall 深蹲
Box Step Squat	箱 步 深蹲
Braced Squat	braced 深蹲
Crossed Arm Barbell Front Squat	crossed 手臂 杠铃 前 深蹲
Dumbbell Squat Clean	哑铃 深蹲 clean
Dumbbell Stepover	哑铃 stepover
Elevated Single Leg Squat	elevated single 腿 深蹲
Figure Four Squats	figure four squats
Kbs Overhead	kbs 过头
Kettlebell Squat	壶铃 深蹲
Kettlebell Swing Overhead	壶铃 swing 过头
Kettlebell Swing With Flip To Squat	壶铃 swing with flip to 深蹲
Lateral Dumbbell Step Up	lateral 哑铃 步 上
